token,file,line,count,category
Colors.red,lib\screens\copied_ticket_edit_screen.dart,77,1,
Colors.red,lib\screens\create_ticket_screen.dart,106,1,
Colors.yellow,lib\screens\events_screen.dart,56,1,
Colors.black,lib\screens\events_screen.dart,60,1,
Colors.black,lib\screens\events_screen.dart,65,1,
Colors.yellow,lib\screens\leaderboard\leaderboard_screen.dart,62,1,
Colors.red,lib\screens\login_register_screen.dart,164,1,
Colors.red,lib\screens\login_register_screen.dart,195,1,
Colors.black,lib\screens\login_register_screen.dart,202,1,
Colors.blue,lib\screens\login_register_screen.dart,209,1,
Colors.white,lib\screens\login_register_screen.dart,342,1,
Colors.red,lib\screens\profile_screen.dart,301,1,
Colors.white,lib\widgets\app_drawer.dart,25,1,
Colors.grey,lib\widgets\home_feed.dart,156,1,
Colors.red,lib\widgets\notification_bell_widget.dart,35,1,
Colors.white,lib\widgets\notification_bell_widget.dart,42,1,
Colors.green,lib\widgets\ticket_status_chip.dart,19,1,
Colors.red,lib\widgets\ticket_status_chip.dart,23,1,
Colors.grey,lib\widgets\ticket_status_chip.dart,27,1,
Colors.grey,lib\widgets\ticket_status_chip.dart,31,1,
